# Version 1.00
#
power[dBm]	Trc2_S21[dB]	
-3.657914478619655E+001	2.617857321143675E+001	
-3.656914228557140E+001	2.617202677898834E+001	
-3.655913978494624E+001	2.618197288980985E+001	
-3.654913728432108E+001	2.616484782880299E+001	
-3.653913478369592E+001	2.615747822698097E+001	
-3.652913228307077E+001	2.611826378802716E+001	
-3.651912978244561E+001	2.611791991209966E+001	
-3.650912728182045E+001	2.611953029981045E+001	
-3.649912478119530E+001	2.611893470994006E+001	
-3.648912228057014E+001	2.611510336602030E+001	
-3.647911977994499E+001	2.610379829023192E+001	
-3.646911727931983E+001	2.612595814680224E+001	
-3.645911477869468E+001	2.610493599614702E+001	
-3.644911227806952E+001	2.610687757477583E+001	
-3.643910977744436E+001	2.612202295546135E+001	
-3.642910727681920E+001	2.614419304049587E+001	
-3.641910477619405E+001	2.614379115465360E+001	
-3.640910227556889E+001	2.611737905333217E+001	
-3.639909977494374E+001	2.612657162161478E+001	
-3.638909727431858E+001	2.611188245626610E+001	
-3.637909477369342E+001	2.611276325766631E+001	
-3.636909227306827E+001	2.612421510550766E+001	
-3.635908977244311E+001	2.612799141315485E+001	
-3.634908727181796E+001	2.615317736224955E+001	
-3.633908477119280E+001	2.617458955627552E+001	
-3.632908227056764E+001	2.615101215807115E+001	
-3.631907976994248E+001	2.614525049880333E+001	
-3.630907726931733E+001	2.616522972811710E+001	
-3.629907476869217E+001	2.616306015129651E+001	
-3.628907226806702E+001	2.615157010925984E+001	
-3.627906976744186E+001	2.615953775796767E+001	
-3.626906726681671E+001	2.615060807536151E+001	
-3.625906476619155E+001	2.615520500520940E+001	
-3.624906226556639E+001	2.615023051773838E+001	
-3.623905976494124E+001	2.615892443777765E+001	
-3.622905726431608E+001	2.612113995091025E+001	
-3.621905476369092E+001	2.610783962104650E+001	
-3.620905226306577E+001	2.611710725092630E+001	
-3.619904976244061E+001	2.611758446824302E+001	
-3.618904726181545E+001	2.613766661210348E+001	
-3.617904476119030E+001	2.614612479667495E+001	
-3.616904226056514E+001	2.614902534162510E+001	
-3.615903975993999E+001	2.614917097241209E+001	
-3.614903725931483E+001	2.612574312019697E+001	
-3.613903475868968E+001	2.612662953591475E+001	
-3.612903225806451E+001	2.612902206850245E+001	
-3.611902975743936E+001	2.614326280671663E+001	
-3.610902725681420E+001	2.615965745116982E+001	
-3.609902475618905E+001	2.618814128484189E+001	
-3.608902225556389E+001	2.616428659274563E+001	
-3.607901975493873E+001	2.616487685111185E+001	
-3.606901725431358E+001	2.615079051983536E+001	
-3.605901475368842E+001	2.613702518879746E+001	
-3.604901225306327E+001	2.612684351156865E+001	
-3.603900975243811E+001	2.611112849556418E+001	
-3.602900725181296E+001	2.612772118994722E+001	
-3.601900475118779E+001	2.610101560716556E+001	
-3.600900225056264E+001	2.610616291112796E+001	
-3.599899974993748E+001	2.611100827930346E+001	
-3.598899724931233E+001	2.608619189180270E+001	
-3.597899474868717E+001	2.610610934407117E+001	
-3.596899224806202E+001	2.614114043123448E+001	
-3.595898974743686E+001	2.612345509916755E+001	
-3.594898724681170E+001	2.613758757150868E+001	
-3.593898474618655E+001	2.612106235342280E+001	
-3.592898224556139E+001	2.613388346739970E+001	
-3.591897974493624E+001	2.610135206394210E+001	
-3.590897724431108E+001	2.611691754260633E+001	
-3.589897474368592E+001	2.612129990734204E+001	
-3.588897224306076E+001	2.612841736194051E+001	
-3.587896974243561E+001	2.614183915752767E+001	
-3.586896724181045E+001	2.615718219091746E+001	
-3.585896474118530E+001	2.615426802763284E+001	
-3.584896224056014E+001	2.615867888500515E+001	
-3.583895973993499E+001	2.615865486192502E+001	
-3.582895723930983E+001	2.617085797200504E+001	
-3.581895473868467E+001	2.616120281399273E+001	
-3.580895223805952E+001	2.615248002641827E+001	
-3.579894973743436E+001	2.614727026486726E+001	
-3.578894723680920E+001	2.613597663995859E+001	
-3.577894473618404E+001	2.616611302126859E+001	
-3.576894223555889E+001	2.616748533580263E+001	
-3.575893973493373E+001	2.614447496617620E+001	
-3.574893723430858E+001	2.612668113357500E+001	
-3.573893473368342E+001	2.612027887407197E+001	
-3.572893223305827E+001	2.611676991790112E+001	
-3.571892973243311E+001	2.612028242445224E+001	
-3.570892723180796E+001	2.612795158237949E+001	
-3.569892473118280E+001	2.613813787270164E+001	
-3.568892223055764E+001	2.614998797527533E+001	
-3.567891972993248E+001	2.614369109427933E+001	
-3.566891722930733E+001	2.610178262349391E+001	
-3.565891472868217E+001	2.610835109241784E+001	
-3.564891222805701E+001	2.612875563156766E+001	
-3.563890972743186E+001	2.616122094808725E+001	
-3.562890722680670E+001	2.616051607190738E+001	
-3.561890472618155E+001	2.616770855322519E+001	
-3.560890222555639E+001	2.617157072452105E+001	
-3.559889972493123E+001	2.614471115886547E+001	
-3.558889722430608E+001	2.613722299075891E+001	
-3.557889472368092E+001	2.611514522657495E+001	
-3.556889222305576E+001	2.609672373633734E+001	
-3.555888972243061E+001	2.609507106616953E+001	
-3.554888722180545E+001	2.611622876544086E+001	
-3.553888472118030E+001	2.608390392675913E+001	
-3.552888222055514E+001	2.609068201684881E+001	
-3.551887971992998E+001	2.609702004970453E+001	
-3.550887721930483E+001	2.612078677402199E+001	
-3.549887471867967E+001	2.609999155927839E+001	
-3.548887221805451E+001	2.611840461057995E+001	
-3.547886971742936E+001	2.613026628284089E+001	
-3.546886721680420E+001	2.613590736773586E+001	
-3.545886471617904E+001	2.612841643979076E+001	
-3.544886221555389E+001	2.612417930316458E+001	
-3.543885971492873E+001	2.609971515721220E+001	
-3.542885721430358E+001	2.609966187808637E+001	
-3.541885471367842E+001	2.613438722963683E+001	
-3.540885221305327E+001	2.615894959313023E+001	
-3.539884971242811E+001	2.614739847784735E+001	
-3.538884721180295E+001	2.617735648078484E+001	
-3.537884471117779E+001	2.614637440581384E+001	
-3.536884221055264E+001	2.615663340053660E+001	
-3.535883970992748E+001	2.616784023982721E+001	
-3.534883720930232E+001	2.617431526671754E+001	
-3.533883470867717E+001	2.615864062034324E+001	
-3.532883220805201E+001	2.615124876231373E+001	
-3.531882970742686E+001	2.613780420868582E+001	
-3.530882720680170E+001	2.615534574234068E+001	
-3.529882470617655E+001	2.615034999121658E+001	
-3.528882220555139E+001	2.615081351110302E+001	
-3.527881970492624E+001	2.612875913960158E+001	
-3.526881720430107E+001	2.612965199913012E+001	
-3.525881470367592E+001	2.612339069000496E+001	
-3.524881220305076E+001	2.612107783935712E+001	
-3.523880970242561E+001	2.613998630293001E+001	
-3.522880720180045E+001	2.614374654800478E+001	
-3.521880470117529E+001	2.615302924994868E+001	
-3.520880220055014E+001	2.614233501514720E+001	
-3.519879969992498E+001	2.613139351034273E+001	
-3.518879719929983E+001	2.613598314492689E+001	
-3.517879469867467E+001	2.615106737130761E+001	
-3.516879219804952E+001	2.613374279613368E+001	
-3.515878969742435E+001	2.617533773140051E+001	
-3.514878719679920E+001	2.617183861955614E+001	
-3.513878469617404E+001	2.616847684121112E+001	
-3.512878219554889E+001	2.614046108148713E+001	
-3.511877969492373E+001	2.613678340745577E+001	
-3.510877719429858E+001	2.611054978671761E+001	
-3.509877469367342E+001	2.612018995675360E+001	
-3.508877219304826E+001	2.610321241497400E+001	
-3.507876969242311E+001	2.610637091314793E+001	
-3.506876719179795E+001	2.609311113696068E+001	
-3.505876469117280E+001	2.609069338885792E+001	
-3.504876219054764E+001	2.608696992163151E+001	
-3.503875968992248E+001	2.609076070072651E+001	
-3.502875718929732E+001	2.609737164415708E+001	
-3.501875468867217E+001	2.611689872058090E+001	
-3.500875218804701E+001	2.613513712651764E+001	
-3.499874968742186E+001	2.613632852085870E+001	
-3.498874718679670E+001	2.610621142290808E+001	
-3.497874468617155E+001	2.610726907391318E+001	
-3.496874218554639E+001	2.607021520212562E+001	
-3.495873968492123E+001	2.611357372354949E+001	
-3.494873718429607E+001	2.612524144328549E+001	
-3.493873468367092E+001	2.612275139627520E+001	
-3.492873218304576E+001	2.612566625837324E+001	
-3.491872968242060E+001	2.616026268003526E+001	
-3.490872718179545E+001	2.613740112811983E+001	
-3.489872468117029E+001	2.615022057882009E+001	
-3.488872218054514E+001	2.614829790872740E+001	
-3.487871967991998E+001	2.616230333301574E+001	
-3.486871717929483E+001	2.615536422292535E+001	
-3.485871467866967E+001	2.613593348096836E+001	
-3.484871217804451E+001	2.613283895776885E+001	
-3.483870967741935E+001	2.614961634046275E+001	
-3.482870717679420E+001	2.615524925015342E+001	
-3.481870467616904E+001	2.615763143127861E+001	
-3.480870217554389E+001	2.615470494562061E+001	
-3.479869967491873E+001	2.613133620602806E+001	
-3.478869717429357E+001	2.612091620756982E+001	
-3.477869467366842E+001	2.611679099015986E+001	
-3.476869217304326E+001	2.611288760099481E+001	
-3.475868967241811E+001	2.613008070540040E+001	
-3.474868717179295E+001	2.615048174957176E+001	
-3.473868467116779E+001	2.613604107905274E+001	
-3.472868217054263E+001	2.614709443317262E+001	
-3.471867966991748E+001	2.614208366399486E+001	
-3.470867716929232E+001	2.613603593677113E+001	
-3.469867466866717E+001	2.614206367314671E+001	
